date,activity_type,distance_km,duration_min,calories
2025-09-01,swim,1.89,41.8,395.4
2025-09-01,bike,54.7,126.1,1167.8
2025-09-01,run,9.8,61.9,680.2
2025-09-02,swim,2.86,70.3,554.4
2025-09-02,bike,33.2,73.1,752.3
2025-09-02,run,10.2,64.2,733.9
2025-09-03,swim,2.53,62.5,479.5
2025-09-03,bike,57.3,124.9,1268.5
2025-09-03,run,8.3,47.5,518.0
2025-09-04,swim,1.07,24.0,217.1
2025-09-04,bike,52.9,115.3,1150.0
2025-09-04,run,5.2,31.9,353.3
2025-09-05,swim,1.73,38.9,364.9
2025-09-05,bike,52.5,112.9,1108.4
2025-09-05,run,8.6,54.2,640.9
2025-09-06,swim,2.14,45.9,418.4
2025-09-06,bike,21.7,51.5,456.7
2025-09-06,run,4.9,29.1,295.1
2025-09-07,swim,1.28,26.2,231.8
2025-09-07,bike,37.7,78.2,876.4
2025-09-07,run,4.4,26.9,267.8
2025-09-08,swim,1.12,26.3,214.3
2025-09-08,bike,45.2,102.7,990.0
2025-09-08,run,8.1,44.5,610.7
2025-09-09,swim,1.95,46.2,419.0
2025-09-09,bike,33.4,77.0,740.3
2025-09-09,run,4.7,27.9,293.6
2025-09-10,swim,2.01,44.2,379.2
2025-09-10,bike,44.4,95.6,1095.9
2025-09-10,run,11.3,68.1,758.8
2025-09-11,swim,1.56,35.4,302.6
2025-09-11,bike,46.2,96.6,1091.8
2025-09-11,run,9.7,55.8,616.5
2025-09-12,swim,2.78,56.6,574.0
2025-09-12,bike,54.2,118.9,1331.8
2025-09-12,run,10.5,61.8,649.4
2025-09-13,swim,2.33,50.6,466.6
2025-09-13,bike,37.5,78.3,871.1
2025-09-13,run,7.8,45.2,498.6
2025-09-14,swim,1.47,36.7,303.0
2025-09-14,bike,54.4,111.0,1262.2
2025-09-14,run,10.8,71.4,811.5
2025-09-15,swim,1.73,35.6,327.8
2025-09-15,bike,28.5,58.2,610.7
2025-09-15,run,5.8,32.4,443.0
2025-09-16,swim,2.03,42.5,416.5
2025-09-16,bike,49.0,113.2,1066.4
2025-09-16,run,10.4,65.8,624.9
2025-09-17,swim,1.01,20.4,210.0
2025-09-17,bike,20.6,48.8,437.8
2025-09-17,run,7.8,47.5,471.9
2025-09-18,swim,2.49,55.0,525.8
2025-09-18,bike,23.8,54.1,574.8
2025-09-18,run,11.5,68.5,824.8
2025-09-19,swim,1.51,37.3,275.1
2025-09-19,bike,31.7,63.9,724.5
2025-09-19,run,9.8,56.2,661.3
2025-09-20,swim,2.19,49.4,424.2
2025-09-20,bike,56.7,129.5,1187.0
2025-09-20,run,4.7,30.0,326.7
2025-09-21,swim,1.55,35.7,311.6
2025-09-21,bike,57.6,120.0,1423.9
2025-09-21,run,9.2,59.4,581.7
2025-09-22,swim,1.57,36.4,285.5
2025-09-22,bike,51.0,121.4,1119.3
2025-09-22,run,9.1,53.3,718.7
2025-09-23,swim,1.19,24.5,222.5
2025-09-23,bike,42.1,86.0,952.9
2025-09-23,run,4.5,26.3,340.4
2025-09-24,swim,1.76,43.5,361.9
2025-09-24,bike,30.7,65.3,699.2
2025-09-24,run,10.7,66.9,844.7
2025-09-25,swim,2.69,60.4,536.5
2025-09-25,bike,31.0,73.1,760.0
2025-09-25,run,5.8,33.8,384.4
2025-09-26,swim,1.41,28.9,267.8
2025-09-26,bike,58.7,129.6,1239.0
2025-09-26,run,10.9,60.3,813.0
2025-09-27,swim,2.01,44.6,437.3
2025-09-27,bike,55.1,131.9,1178.7
2025-09-27,run,8.1,46.8,496.4
2025-09-28,swim,2.17,43.9,397.7
